package_id,created_at,test_week,clickability_test_id,headline,eyecatcher_id,impressions,clicks,ctr,first_place,winner,is_highest_ctr,headline_num_persons,headline_num_orgs,headline_num_gpes,headline_has_person,headline_has_org,headline_has_gpe,headline_has_money,starts_with_verb,starts_with_pronoun,starts_with_number,num_pronouns,num_chars,num_tokens,avg_token_len,ends_with_qmark,ends_with_exclaim,has_quote,has_all_caps_word,num_nouns,num_verbs,num_adjs,num_advs,headline_imperative_verb,headline_has_curiosity_word,headline_curiosity_similarity,headline_has_intensity_word,headline_intensity_similarity,neg,neu,pos,compound,created_at_dayofweek,created_at_hourofday,test_group_size,read_flesch,read_coleman,specificity_tfidf,topic_bertopic
170,2014-11-20 18:27:35.087,201446,546e2ce926714c856600004f,"In This World 40,000 Pounds Is Worth Only $400. Holy Crap, That's Not Good.",546e302d26714cd2dd00005b,3616,25,0.0069137168141592,False,False,False,0,0,0,False,False,False,True,False,False,False,1,75,19,3.263157894736842,False,False,True,False,4,2,2,1,False,False,0.8759480714797974,False,0.8759480714797974,0.28,0.614,0.106,-0.4777,3,18,6,103.04428571428576,3.1714285714285744,0.3264292532432034,8
179,2014-11-20 18:37:56.353,201446,546e2ce926714c856600004f,What Are Walmart And Whole Foods Doing That Wendy's Isn't?,546e302d26714cd2dd00005b,3485,30,0.0086083213773314,False,False,False,1,0,0,True,False,False,False,False,True,False,1,58,13,3.769230769230769,True,False,True,False,4,3,0,0,False,False,0.9283978343009948,False,0.9283978343009948,0.0,1.0,0.0,0.0,3,18,6,78.24500000000002,7.919999999999998,0.4304884310250926,-1
195,2014-11-20 19:28:40.172,201446,546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,546dedbd84ad38b2ce000034,3006,32,0.0106453759148369,False,False,False,0,0,0,False,False,False,False,False,True,False,3,100,19,4.421052631578948,False,False,False,True,4,3,0,0,False,False,0.8537106513977051,False,0.8537106513977051,0.094,0.906,0.0,-0.1695,3,19,5,55.21529411764709,10.776470588235297,0.3451075739741757,16
196,2014-11-20 19:28:54.285,201446,546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,546dedbf26714c82cc000029,3123,39,0.0124879923150816,False,False,False,0,0,0,False,False,False,False,False,True,False,3,100,19,4.421052631578948,False,False,False,True,4,3,0,0,False,False,0.8537106513977051,False,0.8537106513977051,0.094,0.906,0.0,-0.1695,3,19,5,55.21529411764709,10.776470588235297,0.3451075739741757,16
197,2014-11-20 19:29:09.563,201446,546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,546dedc09ad54eca4800003d,3001,50,0.0166611129623458,False,False,False,0,0,0,False,False,False,False,False,True,False,3,100,19,4.421052631578948,False,False,False,True,4,3,0,0,False,False,0.8537106513977051,False,0.8537106513977051,0.094,0.906,0.0,-0.1695,3,19,5,55.21529411764709,10.776470588235297,0.3451075739741757,16
198,2014-11-20 19:29:29.447,201446,546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,546dedbf9ad54e2af0000032,3115,62,0.0199036918138041,True,False,True,0,0,0,False,False,False,False,False,True,False,3,100,19,4.421052631578948,False,False,False,True,4,3,0,0,False,False,0.8537106513977051,False,0.8537106513977051,0.094,0.906,0.0,-0.1695,3,19,5,55.21529411764709,10.776470588235297,0.3451075739741757,16
226,2014-11-20 19:53:24.931,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e47149ad54e667a000084,3077,40,0.0129996750081247,False,False,False,0,0,0,False,False,False,False,False,False,False,1,65,13,4.076923076923077,False,False,False,False,3,3,0,1,False,False,0.7991083860397339,False,0.7991083860397339,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.4047721653878502,-1
227,2014-11-20 19:53:55.687,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e46ce26714c8566000062,3059,49,0.0160183066361556,False,False,False,0,0,0,False,False,False,False,False,False,False,1,65,13,4.076923076923077,False,False,False,False,3,3,0,1,False,False,0.7991083860397339,False,0.7991083860397339,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.4047721653878502,-1
228,2014-11-20 19:54:35.088,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e46f584ad381bbe00006d,3051,84,0.0275319567354965,True,False,True,0,0,0,False,False,False,False,False,False,False,1,65,13,4.076923076923077,False,False,False,False,3,3,0,1,False,False,0.7991083860397339,False,0.7991083860397339,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.4047721653878502,-1
229,2014-11-20 19:55:42.820,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e473b26714c0538000091,3056,82,0.0268324607329842,False,False,False,0,0,0,False,False,False,False,False,False,False,1,65,13,4.076923076923077,False,False,False,False,3,3,0,1,False,False,0.7991083860397339,False,0.7991083860397339,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.4047721653878502,-1
230,2014-11-20 19:55:57.867,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e47489ad54e1f7700005f,3014,79,0.0262110152621101,False,False,False,0,0,0,False,False,False,False,False,False,False,1,65,13,4.076923076923077,False,False,False,False,3,3,0,1,False,False,0.7991083860397339,False,0.7991083860397339,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.4047721653878502,-1
264,2014-11-20 21:33:01.644,201446,546e5e0d9ad54eca48000061,Here's What Every School Should Put Right Next To The Swing Set,546ab4ea007368d4ff00000d,2988,28,0.0093708165997322,True,False,True,0,0,0,False,False,False,False,False,False,False,1,63,13,4.0,False,False,True,False,3,3,0,3,False,False,0.7928146123886108,True,0.7928146123886108,0.0,1.0,0.0,0.0,3,21,5,95.955,6.383333333333336,0.4800456588088435,1
266,2014-11-20 21:36:06.291,201446,546e5e0d9ad54eca48000061,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,546ab4da0073687d49000006,3036,28,0.0092226613965744,False,False,False,0,0,0,False,False,False,False,False,False,False,0,76,17,3.7058823529411766,False,False,False,False,5,1,0,1,False,False,0.8632501363754272,False,0.8632501363754272,0.0,0.759,0.241,0.5859,3,21,5,78.87285714285717,4.828571428571429,0.3471584924688679,11
